time,lat,lon,sst,chlor_a,depth,water_u,water_v,current_speed,fish_presence
2020-01-01,5.1,79.6,28.38,0.183472,0,-0.527,0.035,0.528160960314183,0
2020-01-01,5.1,79.6,28.38,0.183472,0,-0.541,-0.048,0.5431252157652046,0
2020-01-01,5.1,79.6,28.38,0.183472,0,-0.515,-0.013,0.515164051540866,0
2020-01-01,5.1,79.6,28.38,0.183451,0,-0.537,-0.073,0.5419391109709651,0
2020-01-01,5.1,79.6,28.38,0.183451,0,-0.516,-0.047,0.5181360825111488,0
2020-01-01,5.1,79.6,28.38,0.183451,0,-0.54,-0.022,0.5404479623423517,0
2020-01-01,5.1,79.6,28.38,0.183451,0,-0.51,0.004,0.5100156860332827,0
2020-01-01,5.1,79.6,28.38,0.183451,0,-0.557,0.004,0.5570143624719205,0
2020-01-01,5.1,79.6,28.38,0.183451,0,-0.527,0.035,0.528160960314183,0
2020-01-01,5.1,79.6,28.38,0.183451,0,-0.541,-0.048,0.5431252157652046,0
2020-01-01,5.1,79.6,28.38,0.183451,0,-0.515,-0.013,0.515164051540866,0
2020-01-01,5.1,79.6,28.38,0.182849,0,-0.537,-0.073,0.5419391109709651,0
2020-01-01,5.1,79.6,28.38,0.182849,0,-0.516,-0.047,0.5181360825111488,0
2020-01-01,5.1,79.6,28.38,0.182849,0,-0.54,-0.022,0.5404479623423517,0
2020-01-01,5.1,79.6,28.38,0.182849,0,-0.51,0.004,0.5100156860332827,0
2020-01-01,5.1,79.6,28.38,0.182849,0,-0.557,0.004,0.5570143624719205,0
2020-01-01,5.1,79.6,28.38,0.182849,0,-0.527,0.035,0.528160960314183,0
2020-01-01,5.1,79.6,28.38,0.182849,0,-0.541,-0.048,0.5431252157652046,0
2020-01-01,5.1,79.6,28.38,0.182849,0,-0.515,-0.013,0.515164051540866,0
2020-01-01,5.1,79.6,28.38,0.181236,0,-0.537,-0.073,0.5419391109709651,0
2020-01-01,5.1,79.6,28.38,0.181236,0,-0.516,-0.047,0.5181360825111488,0
2020-01-01,5.1,79.6,28.38,0.181236,0,-0.54,-0.022,0.5404479623423517,0
2020-01-01,5.1,79.6,28.38,0.181236,0,-0.51,0.004,0.5100156860332827,0
2020-01-01,5.1,79.6,28.38,0.181236,0,-0.557,0.004,0.5570143624719205,0
2020-01-01,5.1,79.6,28.38,0.181236,0,-0.527,0.035,0.528160960314183,0
2020-01-01,5.1,79.6,28.38,0.181236,0,-0.541,-0.048,0.5431252157652046,0
2020-01-01,5.1,79.6,28.38,0.181236,0,-0.515,-0.013,0.515164051540866,0
2020-01-01,5.1,79.9,28.37,0.171083,0,-0.792,-0.081,0.796131270582936,0
2020-01-01,5.1,79.9,28.37,0.171083,0,-0.755,-0.074,0.7586178220948938,0
2020-01-01,5.1,79.9,28.37,0.171083,0,-0.752,0.012,0.752095738586518,0
2020-01-01,5.1,79.9,28.37,0.171083,0,-0.712,0.024,0.7124043795485819,0
2020-01-01,5.1,79.9,28.37,0.171083,0,-0.719,-0.044,0.7203450562057049,0
2020-01-01,5.1,79.9,28.37,0.171083,0,-0.698,-0.026,0.6984840728320152,0
2020-01-01,5.1,79.9,28.37,0.171083,0,-0.698,-0.088,0.7035254082120985,0
2020-01-01,5.1,79.9,28.37,0.171083,0,-0.683,-0.085,0.6882688428223379,0
